时间,练习生,总点赞量,粉丝数,点赞1次人数,点赞2次人数,点赞3次人数
2026-04-21 23:55:28,杨博文,11456,46326,326,60,3669
2026-04-21 23:55:28,陈奕恒,8582,15203,393,52,2695
2026-04-21 23:55:28,左奇函,7881,12093,308,49,2491
2026-04-21 23:55:28,陈浚铭,7787,10437,263,33,2486
2026-04-22 03:53:05,王橹杰,3446,22847,123,13,1096
2026-04-22 03:53:05,张函瑞,2958,16636,89,14,947
2026-04-22 03:53:05,张桂源,1506,27271,51,6,481
2026-04-22 03:53:05,杨博文,1020,46327,43,11,317
2026-04-22 03:53:05,陈奕恒,515,15208,30,3,158
2026-04-22 03:53:05,左奇函,636,12093,30,6,198
2026-04-22 03:53:05,陈浚铭,732,10443,33,3,231
